name,value
a little after three o'clock - DATE,
"June 3rd, 1916 - DATE",
three brief months - DATE,
Cambrian - NORP,
Greenland - GPE,Cape Farewell - GPE
Greenland - GPE,Bengal - GPE
Greenland - GPE,Cape Farewell - GPE
the summer - DATE,Cape Farewell - GPE
the summer - DATE,Bengal - GPE
the summer - DATE,Cape Farewell - GPE
Cape Farewell - GPE,Greenland - GPE
Cape Farewell - GPE,Bengal - GPE
Cape Farewell - GPE,Greenland - GPE
Bengal - GPE,Cape Farewell - GPE
Bengal - GPE,Greenland - GPE
two minutes - TIME,
Santa Monica - GPE,
recent years - DATE,American - NORP
recent years - DATE,three - CARDINAL
recent years - DATE,as many seconds - TIME
recent years - DATE,Germans - NORP
recent years - DATE,French - NORP
recent years - DATE,English - NORP
Germany - GPE,American - NORP
Germany - GPE,three - CARDINAL
Germany - GPE,as many seconds - TIME
Germany - GPE,Germans - NORP
Germany - GPE,French - NORP
Germany - GPE,English - NORP
England - GPE,American - NORP
England - GPE,three - CARDINAL
England - GPE,as many seconds - TIME
England - GPE,Germans - NORP
England - GPE,French - NORP
England - GPE,English - NORP
England - GPE,French - NORP
England - GPE,French - NORP
England - GPE,English - NORP
France - GPE,American - NORP
France - GPE,three - CARDINAL
France - GPE,as many seconds - TIME
France - GPE,Germans - NORP
France - GPE,French - NORP
France - GPE,English - NORP
the United States - GPE,American - NORP
the United States - GPE,three - CARDINAL
the United States - GPE,as many seconds - TIME
the United States - GPE,Germans - NORP
the United States - GPE,French - NORP
the United States - GPE,English - NORP
Curtiss - ORG,
American - NORP,France - GPE
American - NORP,Airedale - ORG
American - NORP,Crown Prince Nobbler - PERSON
American - NORP,first - ORDINAL
American - NORP,the past dismal hours - DATE
American - NORP,the previous afternoon - TIME
American - NORP,Atlantic - LOC
three - CARDINAL,France - GPE
three - CARDINAL,Airedale - ORG
three - CARDINAL,Crown Prince Nobbler - PERSON
three - CARDINAL,first - ORDINAL
three - CARDINAL,the past dismal hours - DATE
three - CARDINAL,the previous afternoon - TIME
three - CARDINAL,Atlantic - LOC
three - CARDINAL,the past dismal hours - DATE
three - CARDINAL,the past dismal hours - DATE
three - CARDINAL,the previous afternoon - TIME
three - CARDINAL,4 - DATE
three - CARDINAL,4 - DATE
three - CARDINAL,2 - CARDINAL
as many seconds - TIME,France - GPE
as many seconds - TIME,Airedale - ORG
as many seconds - TIME,Crown Prince Nobbler - PERSON
as many seconds - TIME,first - ORDINAL
as many seconds - TIME,the past dismal hours - DATE
as many seconds - TIME,the previous afternoon - TIME
as many seconds - TIME,Atlantic - LOC
Airedale - ORG,American - NORP
Airedale - ORG,Pacific - LOC
Airedale - ORG,Frankenstein - PERSON
Airedale - ORG,a few yards - QUANTITY
Airedale - ORG,Nobs - ORG
Airedale - ORG,Nobs - ORG
Airedale - ORG,Fate - PERSON
Airedale - ORG,German - NORP
Airedale - ORG,two - CARDINAL
Airedale - ORG,third - ORDINAL
Airedale - ORG,Benson - PERSON
Airedale - ORG,two - CARDINAL
Airedale - ORG,Englishmen - PRODUCT
Airedale - ORG,Von Schoenvorts - PERSON
Airedale - ORG,Baron von Schoenvorts - PERSON
Airedale - ORG,the U-33 - PRODUCT
Crown Prince Nobbler - PERSON,American - NORP
Crown Prince Nobbler - PERSON,Pacific - LOC
Crown Prince Nobbler - PERSON,Frankenstein - PERSON
Crown Prince Nobbler - PERSON,a few yards - QUANTITY
Crown Prince Nobbler - PERSON,Nobs - ORG
Crown Prince Nobbler - PERSON,Nobs - ORG
Crown Prince Nobbler - PERSON,Fate - PERSON
Crown Prince Nobbler - PERSON,German - NORP
Crown Prince Nobbler - PERSON,two - CARDINAL
Crown Prince Nobbler - PERSON,third - ORDINAL
Crown Prince Nobbler - PERSON,Benson - PERSON
Crown Prince Nobbler - PERSON,two - CARDINAL
Crown Prince Nobbler - PERSON,Englishmen - PRODUCT
Crown Prince Nobbler - PERSON,Von Schoenvorts - PERSON
Crown Prince Nobbler - PERSON,Baron von Schoenvorts - PERSON
Crown Prince Nobbler - PERSON,the U-33 - PRODUCT
first - ORDINAL,American - NORP
first - ORDINAL,Pacific - LOC
first - ORDINAL,Frankenstein - PERSON
first - ORDINAL,a few yards - QUANTITY
first - ORDINAL,Nobs - ORG
first - ORDINAL,Nobs - ORG
first - ORDINAL,Fate - PERSON
first - ORDINAL,German - NORP
first - ORDINAL,two - CARDINAL
first - ORDINAL,third - ORDINAL
first - ORDINAL,Benson - PERSON
first - ORDINAL,two - CARDINAL
first - ORDINAL,Englishmen - PRODUCT
first - ORDINAL,Von Schoenvorts - PERSON
first - ORDINAL,Baron von Schoenvorts - PERSON
first - ORDINAL,the U-33 - PRODUCT
first - ORDINAL,Fate - PERSON
first - ORDINAL,German - NORP
first - ORDINAL,15 - DATE
first - ORDINAL,15 - DATE
first - ORDINAL,Marian Rezelman - PERSON
first - ORDINAL,15 - DATE
first - ORDINAL,Marian Rezelman - PERSON
first - ORDINAL,Pro Action - PERSON
first - ORDINAL,15 - DATE
first - ORDINAL,Marian Rezelman - PERSON
first - ORDINAL,Pro Action - PERSON
first - ORDINAL,Metcalf - PERSON
Punch - NORP,
two hundred yards - QUANTITY,
hundreds of feet - QUANTITY,
two seconds - TIME,
half - CARDINAL,another two days - DATE
half - CARDINAL,Only two - CARDINAL
one - CARDINAL,nineteen - CARDINAL
one - CARDINAL,sixteen - CARDINAL
one - CARDINAL,Germans - NORP
one - CARDINAL,nine - CARDINAL
one - CARDINAL,Jack - PERSON
one - CARDINAL,Bradley - PERSON
one - CARDINAL,German - NORP
one - CARDINAL,Olson - PERSON
one - CARDINAL,British - NORP
one - CARDINAL,Kiel - PERSON
one - CARDINAL,Six - CARDINAL
one - CARDINAL,Swede - NORP
one - CARDINAL,U-33 - PRODUCT
one - CARDINAL,German - NORP
one - CARDINAL,nineteen - CARDINAL
one - CARDINAL,nineteen - CARDINAL
one - CARDINAL,sixteen - CARDINAL
one - CARDINAL,nineteen - CARDINAL
one - CARDINAL,sixteen - CARDINAL
one - CARDINAL,Germans - NORP
one - CARDINAL,nineteen - CARDINAL
one - CARDINAL,sixteen - CARDINAL
one - CARDINAL,Germans - NORP
one - CARDINAL,nine - CARDINAL
one - CARDINAL,Jack - PERSON
one - CARDINAL,Bradley - PERSON
one - CARDINAL,Jack - PERSON
one - CARDINAL,Bradley - PERSON
one - CARDINAL,German - NORP
one - CARDINAL,Olson - PERSON
one - CARDINAL,Olson - PERSON
one - CARDINAL,British - NORP
one - CARDINAL,Kiel - PERSON
one - CARDINAL,two - CARDINAL
Pacific - LOC,first - ORDINAL
Frankenstein - PERSON,first - ORDINAL
second - ORDINAL,Bradley - PERSON
second - ORDINAL,Bradley - PERSON
One - CARDINAL,Diesel - ORG
One - CARDINAL,Metcalf - PERSON
One - CARDINAL,Metcalf - PERSON
One - CARDINAL,"3,000 - MONEY"
four feet - QUANTITY,
a few yards - QUANTITY,first - ORDINAL
Germans - NORP,Germany - GPE
Germans - NORP,nineteen - CARDINAL
Germans - NORP,one - CARDINAL
Germans - NORP,sixteen - CARDINAL
Germans - NORP,nine - CARDINAL
Germans - NORP,English - LANGUAGE
Germans - NORP,Friedrich von Schoenvorts - PERSON
Germans - NORP,eight - CARDINAL
Germans - NORP,Bradley - PERSON
Germans - NORP,Olson - PERSON
Germans - NORP,only nine - CARDINAL
Germans - NORP,eight - CARDINAL
Germans - NORP,Bradley - PERSON
Germans - NORP,nineteen - CARDINAL
Germans - NORP,one - CARDINAL
Germans - NORP,sixteen - CARDINAL
Germans - NORP,nineteen - CARDINAL
Germans - NORP,one - CARDINAL
Germans - NORP,sixteen - CARDINAL
Germans - NORP,nine - CARDINAL
Germans - NORP,English - LANGUAGE
a few minutes - TIME,Germany - GPE
a few minutes - TIME,nineteen - CARDINAL
a few minutes - TIME,one - CARDINAL
a few minutes - TIME,sixteen - CARDINAL
a few minutes - TIME,nine - CARDINAL
a few minutes - TIME,English - LANGUAGE
a few minutes - TIME,Friedrich von Schoenvorts - PERSON
a few minutes - TIME,eight - CARDINAL
a few minutes - TIME,Bradley - PERSON
a few minutes - TIME,Olson - PERSON
a few minutes - TIME,only nine - CARDINAL
a few minutes - TIME,eight - CARDINAL
a few minutes - TIME,Bradley - PERSON
Nobs - ORG,Lys - PERSON
Nobs - ORG,Lys - PERSON
Caspak - GPE,
an hour - TIME,
Leland-Stanford - FAC,
German - NORP,first - ORDINAL
German - NORP,Jack - PERSON
German - NORP,Bradley - PERSON
German - NORP,one - CARDINAL
German - NORP,1 - CARDINAL
German - NORP,"July, 1916 - DATE"
German - NORP,Swedish - NORP
German - NORP,Balmen - GPE
German - NORP,Rio de Janiero - ORG
German - NORP,Barcelona - GPE
German - NORP,June - DATE
German - NORP,U-33 - PRODUCT
German - NORP,one - CARDINAL
German - NORP,About a hundred yards - CARDINAL
German - NORP,Bradley - GPE
German - NORP,first - ORDINAL
German - NORP,Jack - PERSON
German - NORP,Bradley - PERSON
German - NORP,one - CARDINAL
all night - TIME,
Nobbler - PERSON,
Nobbler - ORG,
two - CARDINAL,Bradley - PERSON
two - CARDINAL,Olson - PERSON
two - CARDINAL,first - ORDINAL
two - CARDINAL,third - ORDINAL
two - CARDINAL,four - CARDINAL
two - CARDINAL,first - ORDINAL
two - CARDINAL,Benson - PERSON
two - CARDINAL,Englishmen - PRODUCT
two - CARDINAL,Lys - PERSON
two - CARDINAL,Metcalf - PERSON
two - CARDINAL,Metcalf - PERSON
two - CARDINAL,Bath - GPE
