name,value
a little after three o'clock - DATE,
"June 3rd, 1916 - DATE",
three brief months - DATE,
Cambrian - NORP,
Greenland - GPE,Cape Farewell - GPE
Greenland - GPE,Bengal - GPE
Greenland - GPE,Cape Farewell - GPE
the summer - DATE,Cape Farewell - GPE
the summer - DATE,Bengal - GPE
the summer - DATE,Cape Farewell - GPE
Cape Farewell - GPE,Greenland - GPE
Cape Farewell - GPE,Bengal - GPE
Cape Farewell - GPE,Greenland - GPE
Bengal - GPE,Cape Farewell - GPE
Bengal - GPE,Greenland - GPE
two minutes - TIME,
Santa Monica - GPE,
recent years - DATE,American - NORP
recent years - DATE,three - CARDINAL
recent years - DATE,as many seconds - TIME
recent years - DATE,Germans - NORP
recent years - DATE,French - NORP
recent years - DATE,English - NORP
Germany - GPE,American - NORP
Germany - GPE,three - CARDINAL
Germany - GPE,as many seconds - TIME
Germany - GPE,Germans - NORP
Germany - GPE,French - NORP
Germany - GPE,English - NORP
England - GPE,American - NORP
England - GPE,three - CARDINAL
England - GPE,as many seconds - TIME
England - GPE,Germans - NORP
England - GPE,French - NORP
England - GPE,English - NORP
France - GPE,American - NORP
France - GPE,three - CARDINAL
France - GPE,as many seconds - TIME
France - GPE,Germans - NORP
France - GPE,French - NORP
France - GPE,English - NORP
the United States - GPE,American - NORP
the United States - GPE,three - CARDINAL
the United States - GPE,as many seconds - TIME
the United States - GPE,Germans - NORP
the United States - GPE,French - NORP
the United States - GPE,English - NORP
Curtiss - ORG,
American - NORP,France - GPE
American - NORP,Airedale - ORG
American - NORP,Crown Prince Nobbler - PERSON
American - NORP,first - ORDINAL
American - NORP,the past dismal hours - DATE
American - NORP,the previous afternoon - TIME
three - CARDINAL,France - GPE
three - CARDINAL,Airedale - ORG
three - CARDINAL,Crown Prince Nobbler - PERSON
three - CARDINAL,first - ORDINAL
three - CARDINAL,the past dismal hours - DATE
three - CARDINAL,the previous afternoon - TIME
as many seconds - TIME,France - GPE
as many seconds - TIME,Airedale - ORG
as many seconds - TIME,Crown Prince Nobbler - PERSON
as many seconds - TIME,first - ORDINAL
as many seconds - TIME,the past dismal hours - DATE
as many seconds - TIME,the previous afternoon - TIME
Airedale - ORG,American - NORP
Airedale - ORG,Pacific - LOC
Airedale - ORG,Frankenstein - PERSON
Airedale - ORG,a few yards - QUANTITY
Airedale - ORG,Nobs - ORG
Airedale - ORG,Fate - PERSON
Airedale - ORG,German - NORP
Crown Prince Nobbler - PERSON,American - NORP
Crown Prince Nobbler - PERSON,Pacific - LOC
Crown Prince Nobbler - PERSON,Frankenstein - PERSON
Crown Prince Nobbler - PERSON,a few yards - QUANTITY
Crown Prince Nobbler - PERSON,Nobs - ORG
Crown Prince Nobbler - PERSON,Fate - PERSON
Crown Prince Nobbler - PERSON,German - NORP
first - ORDINAL,American - NORP
first - ORDINAL,Pacific - LOC
first - ORDINAL,Frankenstein - PERSON
first - ORDINAL,a few yards - QUANTITY
first - ORDINAL,Nobs - ORG
first - ORDINAL,Fate - PERSON
first - ORDINAL,German - NORP
Punch - NORP,
two hundred yards - QUANTITY,
hundreds of feet - QUANTITY,
two seconds - TIME,
half - CARDINAL,
one - CARDINAL,nineteen - CARDINAL
one - CARDINAL,sixteen - CARDINAL
one - CARDINAL,Germans - NORP
one - CARDINAL,nine - CARDINAL
one - CARDINAL,Jack - PERSON
one - CARDINAL,Bradley - PERSON
one - CARDINAL,German - NORP
one - CARDINAL,Olson - PERSON
one - CARDINAL,British - NORP
one - CARDINAL,Kiel - PERSON
Pacific - LOC,first - ORDINAL
Frankenstein - PERSON,first - ORDINAL
second - ORDINAL,Bradley - PERSON
One - CARDINAL,
four feet - QUANTITY,
a few yards - QUANTITY,first - ORDINAL
Germans - NORP,Germany - GPE
Germans - NORP,nineteen - CARDINAL
Germans - NORP,one - CARDINAL
Germans - NORP,sixteen - CARDINAL
Germans - NORP,nine - CARDINAL
Germans - NORP,English - LANGUAGE
a few minutes - TIME,Germany - GPE
a few minutes - TIME,nineteen - CARDINAL
a few minutes - TIME,one - CARDINAL
a few minutes - TIME,sixteen - CARDINAL
a few minutes - TIME,nine - CARDINAL
a few minutes - TIME,English - LANGUAGE
Nobs - ORG,first - ORDINAL
Caspak - GPE,
an hour - TIME,
Leland-Stanford - FAC,
German - NORP,first - ORDINAL
German - NORP,Jack - PERSON
German - NORP,Bradley - PERSON
German - NORP,one - CARDINAL
all night - TIME,
Nobbler - PERSON,
Nobbler - ORG,
two - CARDINAL,
morning - TIME,
days - DATE,
hours - TIME,
French - NORP,England - GPE
English - NORP,England - GPE
Channel - ORG,"August, 1914 - DATE"
Channel - ORG,two days - DATE
Kaiser - ORG,
the past dismal hours - DATE,three - CARDINAL
the previous afternoon - TIME,three - CARDINAL
"August, 1914 - DATE",Channel - ORG
about two hundred yards - QUANTITY,
yesterday - DATE,
Americans - NORP,
many years - DATE,
English - LANGUAGE,Bradley - PERSON
English - LANGUAGE,V. C.'s - PERSON
English - LANGUAGE,Germans - NORP
five hundreds tons - QUANTITY,Bradley - PERSON
five hundreds tons - QUANTITY,V. C.'s - PERSON
five hundreds tons - QUANTITY,Germans - NORP
fifty feet - QUANTITY,
Two - CARDINAL,
the next few seconds - TIME,
Fate - PERSON,first - ORDINAL
Kick - PERSON,
one to three - CARDINAL,
Nob - PERSON,
ten - CARDINAL,
eight - CARDINAL,
nineteen - CARDINAL,one - CARDINAL
nineteen - CARDINAL,Germans - NORP
sixteen - CARDINAL,one - CARDINAL
sixteen - CARDINAL,Germans - NORP
nine - CARDINAL,one - CARDINAL
nine - CARDINAL,Germans - NORP
a bad day's - DATE,Olson - PERSON
a bad day's - DATE,Irish - NORP
a bad day's - DATE,Scotch - GPE
a bad day's - DATE,English - LANGUAGE
a bad day's - DATE,V. C.'s - PERSON
a bad day's - DATE,Olson - PERSON
a bad day's - DATE,Jack - PERSON
a bad day's - DATE,one - CARDINAL
a bad day's - DATE,German - NORP
a bad day's - DATE,second - ORDINAL
Bradley - PERSON,Olson - PERSON
Bradley - PERSON,Irish - NORP
Bradley - PERSON,Scotch - GPE
Bradley - PERSON,English - LANGUAGE
Bradley - PERSON,V. C.'s - PERSON
Bradley - PERSON,Olson - PERSON
Bradley - PERSON,Jack - PERSON
Bradley - PERSON,one - CARDINAL
Bradley - PERSON,German - NORP
Bradley - PERSON,second - ORDINAL
Olson - PERSON,Bradley - PERSON
Olson - PERSON,Bradley - PERSON
Olson - PERSON,one - CARDINAL
Olson - PERSON,British - NORP
Irish - NORP,Bradley - PERSON
Irish - NORP,Bradley - PERSON
Irish - NORP,one - CARDINAL
Irish - NORP,British - NORP
Scotch - GPE,Bradley - PERSON
Scotch - GPE,Bradley - PERSON
Scotch - GPE,one - CARDINAL
Scotch - GPE,British - NORP
V. C.'s - PERSON,English - LANGUAGE
V. C.'s - PERSON,Bradley - PERSON
Baron von Schoenvorts - PERSON,
Friedrich von Schoenvorts - PERSON,
Jack - PERSON,Bradley - PERSON
Jack - PERSON,one - CARDINAL
Jack - PERSON,German - NORP
Half - CARDINAL,
British - NORP,Olson - PERSON
British - NORP,one - CARDINAL
three months ago - DATE,
half an hour - TIME,
the Royal Navy - ORG,
About one - CARDINAL,
Union Jack - PERSON,
forty feet - QUANTITY,
two days - DATE,Channel - ORG
Kiel - PERSON,one - CARDINAL
